CVEGEO	ola	dias_ola	n	pruebas_dia_promedio
05026	03_ola_2	154	22	0.14285714285714285
05026	04_interola_2	77	7	0.09090909090909091
05026	05_ola_3	126	15	0.11904761904761904
05026	06_interola_3	56	30	0.5357142857142857
05026	07_ola_4	119	123	1.0336134453781514
05027	01_ola_1	105	109	1.0380952380952382
05027	02_interola_1	77	240	3.116883116883117
05027	03_ola_2	154	775	5.032467532467533
05027	04_interola_2	77	417	5.415584415584416
05027	05_ola_3	126	1424	11.301587301587302
05027	06_interola_3	56	1164	20.785714285714285
05027	07_ola_4	119	2319	19.48739495798319
05028	01_ola_1	105	271	2.580952380952381
05028	02_interola_1	77	1162	15.090909090909092
05028	03_ola_2	154	2646	17.181818181818183
05028	04_interola_2	77	690	8.96103896103896
05028	05_ola_3	126	1834	14.555555555555555
05028	06_interola_3	56	1534	27.392857142857142
05028	07_ola_4	119	3633	30.529411764705884
05029	01_ola_1	105	134	1.276190476190476
05029	02_interola_1	77	71	0.922077922077922
05029	03_ola_2	154	166	1.077922077922078
05029	04_interola_2	77	53	0.6883116883116883
05029	05_ola_3	126	20	0.15873015873015872
05029	06_interola_3	56	32	0.5714285714285714
05029	07_ola_4	119	83	0.6974789915966386
05030	01_ola_1	105	2748	26.17142857142857
05030	02_interola_1	77	8720	113.24675324675324
05030	03_ola_2	154	17250	112.01298701298701
05030	04_interola_2	77	7016	91.11688311688312
05030	05_ola_3	126	18737	148.70634920634922
05030	06_interola_3	56	13258	236.75
05030	07_ola_4	119	33283	279.6890756302521
05031	01_ola_1	105	49	0.4666666666666667
05031	02_interola_1	77	139	1.8051948051948052
05031	03_ola_2	154	419	2.720779220779221
05031	04_interola_2	77	111	1.4415584415584415
05031	05_ola_3	126	316	2.507936507936508
05031	06_interola_3	56	341	6.089285714285714
05031	07_ola_4	119	1384	11.630252100840336
05032	01_ola_1	105	259	2.466666666666667
05032	02_interola_1	77	1196	15.532467532467532
05032	03_ola_2	154	1913	12.422077922077921
05032	04_interola_2	77	429	5.571428571428571
05032	05_ola_3	126	858	6.809523809523809
05032	06_interola_3	56	766	13.678571428571429
05032	07_ola_4	119	2864	24.067226890756302
05033	01_ola_1	105	382	3.638095238095238
05033	02_interola_1	77	1400	18.181818181818183
05033	03_ola_2	154	2858	18.558441558441558
05033	04_interola_2	77	1001	13
05033	05_ola_3	126	1071	8.5
05033	06_interola_3	56	1228	21.928571428571427
05033	07_ola_4	119	2080	17.478991596638654
