CVEGEO	beds_PAFIL_IPRIV	beds_PAFIL_PDOM	beds_PDER_IMSS	beds_PDER_IMSSB	beds_PDER_ISTE	beds_PDER_SEGP	clinics_PAFIL_IPRIV	clinics_PAFIL_PDOM	clinics_PDER_IMSS	clinics_PDER_IMSSB	clinics_PDER_ISTE	clinics_PDER_SEGP	derechohabientes_PAFIL_IPRIV	derechohabientes_PAFIL_PDOM	derechohabientes_PDER_IMSS	derechohabientes_PDER_IMSSB	derechohabientes_PDER_ISTE	derechohabientes_PDER_SEGP	POBTOT
15026	0	0	27	0	0	0	0	0	32	2	6	0	1493	1586	76788	928	7135	108380	279293
15027	0	0	239	0	0	0	0	0	74	0	1	0	16205	1086	154352	1103	17456	65360	408862
15028	0	0	187	0	0	0	0	0	60	0	24	0	10162	4194	162343	2972	43098	166585	636720
15029	0	0	354	0	0	0	0	0	151	24	20	0	22569	9798	529793	7835	107206	391846	1829054
15030	0	0	187	0	0	0	0	0	58	0	20	0	7858	2612	96887	1939	29737	98643	383096
15031	0	0	354	0	0	0	0	0	196	1	71	0	23511	10259	631571	7659	154711	318221	1859608
15032	0	0	6	11	10	0	0	0	11	41	15	0	1167	486	36850	3437	17278	113112	302071
15033	0	0	2292	0	486	0	0	7	976	2	280	0	68174	35407	2130642	14809	408984	620184	4847707
15034	0	0	0	0	0	0	0	0	6	0	3	0	759	897	16582	469	6192	60558	122055
15035	0	0	33	0	0	0	0	0	45	3	3	0	4362	9774	255170	2245	17165	99234	617541
15036	0	0	24	0	0	0	0	0	65	1	2	0	4614	10128	220182	2286	23987	100339	599269
15037	0	2732	472	0	151	0	0	360	226	2	151	0	141471	51881	755896	6068	97152	176869	1709020
15038	0	0	0	0	0	0	0	0	67	0	2	0	29035	9416	496640	4297	37234	180941	1168701
15039	0	0	451	0	0	0	0	0	211	5	30	0	21750	10795	479000	6694	115981	345999	1664931
15040	0	0	0	0	0	0	0	0	2	0	0	0	679	182	6676	1445	2097	106110	165749
15041	0	0	6	0	10	0	0	0	11	25	14	0	1216	347	34173	1794	16647	100071	274887
15042	0	60	0	0	0	0	0	4	5	8	1	0	1557	1267	85301	2684	11516	236721	571367
15043	0	251	92	0	0	0	0	102	52	6	34	0	37814	13431	282208	2103	99019	161770	844925
