V1	V2
08019	08061
08020	08030
08020	08066
08020	25007
08020	26003
08021	08045
08021	08055
08021	08062
08022	08018
08022	08024
08022	08026
08022	08057
08022	08061
08023	08010
08023	08013
08023	08034
08023	08050
08024	08017
08024	08019
08024	08022
08024	08026
08024	08054
08024	08061
08025	08034
08025	08040
08025	08048
08025	08063
08026	08017
08026	08018
08026	08022
08026	08024
08026	08054
08027	08007
08027	08008
08027	08009
08027	08012
08027	08029
08027	08046
08027	08049
08027	08065
08028	08001
08028	08015
08028	08037
08028	08052
08028	08053
08029	08007
08029	08027
08029	08046
08029	10009
08029	10034
08029	10035
08029	25003
08029	25017
08030	08020
08030	08041
08030	08065
08030	08066
08030	25007
08031	08006
08031	08009
08031	08012
08031	08017
08031	08018
08031	08043
08031	08048
08031	08051
08031	08063
08032	08003
08032	08033
08032	08044
08032	08059
08032	08060
08032	08067
08033	08032
08033	08056
08033	08059
08033	08064
08033	08067
08034	08010
08034	08013
08034	08023
08034	08025
08034	08040
08034	08048
08035	08005
08035	08013
08035	08050
08035	26002
08035	26010
08035	26015
08036	05034
08036	08003
08036	08011
08036	08014
08036	08039
08036	10010
08036	10013
08036	10036
08037	08001
08037	08005
08037	08028
08038	08002
08038	08011
08038	08045
08038	08052
08038	08055
08038	08062
08039	08003
08039	08014
08039	08036
08040	08013
08040	08025
08040	08034
08040	08063
08040	26040
08040	26052
08041	08009
08041	08030
08041	08051
08041	08065
08041	08066
08042	05023
08042	05034
08042	08011
08042	08052
08043	08031
08043	08048
08043	08063
08044	08003
08044	08014
08044	08032
08044	08060
08044	10017
08045	08021
08045	08038
08045	08055
08045	08062
08046	08008
08046	08027
08046	08029
08046	25007
08046	25017
08047	08051
08047	08063
08047	08066
08047	26051
08047	26069
08048	08006
08048	08010
08048	08017
08048	08019
08048	08025
08048	08031
08048	08034
08048	08043
08048	08054
08048	08063
08049	08007
08049	08012
08049	08027
08049	08056
08049	08057
08049	08061
08050	08005
08050	08010
08050	08013
08050	08023
08050	08035
08051	08009
08051	08031
08051	08041
08051	08047
08051	08063
08051	08066
08052	08002
08052	08011
08052	08015
08052	08028
08052	08038
08052	08042
08053	08028
08054	08017
08054	08019
08054	08024
08054	08026
08054	08048
08055	08002
08055	08004
08055	08019
08055	08021
08055	08038
08055	08045
08055	08061
08055	08062
08056	08007
08056	08033
08056	08049
08056	08061
08056	08064
08056	08067
08057	08012
08057	08018
08057	08022
08057	08049
08057	08061
08058	08003
08058	08011
08058	08016
08058	08062
08058	08067
08059	08007
08059	08032
08059	08033
08059	08060
08059	08064
08059	10017
08060	08032
08060	08044
08060	08059
08060	10017
08061	08019
08061	08022
08061	08024
08061	08049
08061	08055
08061	08056
08061	08057
08061	08062
08061	08067
08062	08011
08062	08016
08062	08021
08062	08038
08062	08045
08062	08055
08062	08058
08062	08061
08062	08067
08063	08025
08063	08031
08063	08040
08063	08043
08063	08047
08063	08048
08063	08051
08063	26052
08063	26069
08064	08007
08064	08033
08064	08056
08064	08059
08065	08008
08065	08009
08065	08027
08065	08030
08065	08041
08065	25007
08066	08020
08066	08030
08066	08041
08066	08047
08066	08051
08066	26003
08066	26049
08066	26051
08067	08003
08067	08032
08067	08033
08067	08056
08067	08058
08067	08061
08067	08062
09002	09005
09002	09015
09002	09016
09002	15057
09002	15104
09003	09007
09003	09010
09003	09012
09003	09013
09003	09014
09004	09010
09004	09016
09004	15037
09004	15062
09005	09002
09005	09015
09005	09017
09005	15020
09005	15033
09005	15058
09005	15104
09005	15109
09006	09007
09006	09014
09006	09015
09006	09017
09006	15058
09007	09003
09007	09006
09007	09011
09007	09013
09007	09014
09007	15070
09007	15058
09007	15122
09008	09010
09008	09012
09008	15062
09009	09011
09009	09012
09009	09013
09009	15025
09009	15050
09009	17009
09009	17020
09009	17023
09010	09003
09010	09004
09010	09008
09010	09012
09010	09014
09010	09016
09010	15062
09011	09007
09011	09009
09011	09013
09011	15025
09011	15122
09012	09003
09012	09008
09012	09009
09012	09010
09012	09013
09012	15043
09012	15062
09012	15101
09012	17009
09013	09003
09013	09007
09013	09009
09013	09011
09013	09012
09014	09003
09014	09006
09014	09007
09014	09010
09014	09015
09014	09016
09015	09002
09015	09005
09015	09006
09015	09014
09015	09016
09015	09017
09016	09002
09016	09004
09016	09010
09016	09014
09016	09015
09016	15037
09016	15057
09017	09005
09017	09006
09017	09015
09017	15058
10001	10003
10001	10005
10001	10020
10001	10026
10001	10028
10001	10032
10001	10039
10002	10034
10002	10035
10002	10032
10002	10037
10003	10001
10003	10018
10003	10024
10003	10028
10003	10032
10003	10039
10004	10006
10004	10008
10004	10012
10004	10015
10004	10021
10004	10022
10004	10031
10004	32029
10004	32042
10005	10001
10005	10008
10005	10014
10005	10016
10005	10020
10005	10022
10005	10023
10005	10026
10006	05035
10006	05036
10006	10004
10006	10012
10006	10027
10006	10031
10006	32014
10007	05009
10007	05017
10007	05035
10007	10012
10007	10013
10007	10036
10008	10004
10008	10005
10008	10020
10008	10021
10008	10022
10009	08007
10009	08029
10009	10017
10009	10018
10009	10025
10009	10035
10010	08014
10010	08036
10010	10011
10010	10013
10010	10017
10010	10030
10011	10010
10011	10017
10011	10018
10011	10024
10011	10030
10012	05017
10012	05035
10012	05036
10012	10004
10012	10006
10012	10007
10012	10013
10012	10015
10013	08036
10013	10007
10013	10010
10013	10012
10013	10015
10013	10030
10013	10036
10014	10005
10014	10016
10014	10023
10014	10033
10014	18001
10014	18005
10014	18009
10014	32021
10014	32049
10015	10004
10015	10012
10015	10013
10015	10021
10015	10024
10015	10028
10015	10029
10015	10030
10016	10005
10016	10014
10016	10022
10016	10033
10016	10038
10017	08007
10017	08014
10017	08044
10017	08059
10017	08060
10017	10009
10017	10010
10017	10011
10017	10018
10017	10025
10018	10003
10018	10009
10018	10011
10018	10017
10018	10024
10018	10025
10018	10035
10018	10032
10019	10026
10019	10034
10019	10032
10020	10001
10020	10005
10020	10008
10020	10021
10020	10028
10021	10004
10021	10008
10021	10015
10021	10020
10021	10028
10022	10004
10022	10005
10022	10008
10022	10016
10022	10038
10022	32042
10023	10005
10023	10014
10023	10026
10023	18005
10023	25004
10023	25014
10024	10003
10024	10011
10024	10015
10024	10018
10024	10028
10024	10029
10024	10030
10025	10009
10025	10017
10025	10018
10026	10001
10026	10005
10026	10019
10026	10023
10026	10034
10026	10032
10026	25004
10026	25012
10026	25016
10027	05036
10027	10006
10027	32026
10027	32014
10028	10001
10028	10003
10028	10015
10028	10020
10028	10021
10028	10024
10033	10014
10033	10016
10033	10038
10033	32009
10033	32021
10033	32042
10034	08029
10034	10002
10034	10019
10034	10026
10034	10035
10034	10032
10034	10037
10034	25003
10034	25005
10034	25006
10034	25016
10035	08029
10035	10002
10035	10009
10035	10018
10035	10034
10035	10032
10035	10037
10029	10015
10029	10024
10029	10030
10030	10010
10030	10011
10030	10013
10030	10015
10030	10024
10030	10029
10031	10004
10031	10006
10031	32022
10031	32029
10031	32014
10032	10001
10032	10002
10032	10003
10032	10018
10032	10019
10032	10026
10032	10034
10032	10035
10032	10039
10036	05009
10036	05034
10036	08036
10036	10007
10036	10013
10037	10002
10037	10034
10037	10035
10038	10016
10038	10022
10038	10033
10038	32042
10039	10001
10039	10003
10039	10032
11001	11012
11001	11016
11001	11017
11001	11023
11001	11024
11001	11026
11001	11042
11001	16113
11002	11019
11002	11028
11002	11038
11002	11039
11002	16003
11002	16050
11002	16078
11002	16110
11003	11005
11003	11009
11003	11014
11003	11027
11003	11032
11003	11033
11003	11035
11003	22014
11004	11005
11004	11007
11004	11019
11004	11039
11004	22006
11005	11003
11005	11004
11005	11007
11005	11009
11005	22006
11005	22014
11006	11045
11006	22002
11006	22003
11006	22013
11007	11004
11007	11005
